,date,title,description,url,source
31,2025-05-22T15:42:58Z,Kraken to allow trading of tokenized versions of Apple and other popular stocks,"If you love Apple and you love crypto, good news: cryptocurrency exchange Kraken is preparing to let users trade tokenized versions of popular stocks like Apple, Tesla, and Nvidia. Except if you’re in the U.S., that is.



 more…",https://9to5mac.com/2025/05/22/kraken-to-allow-trading-of-tokenized-versions-of-apple-stocks/,9to5Mac
32,2025-05-23T20:12:57Z,Trump Struggles to Silence His Ringing iPhone During Press Conference,The president isn't the most tech-savvy fascist around.,https://gizmodo.com/trump-struggles-to-silence-his-ringing-iphone-during-press-conference-2000606714,Gizmodo.com
33,2025-05-20T17:45:51Z,"Elon Musk, Trump’s Biggest 2024 Donor, Says He Plans to Cut Back Political Spending","Elon Musk, who spent over $250 million on Trump’s campaign, says he’ll reduce political spending.",https://time.com/7287098/elon-musk-trump-political-spending/,Time
34,2025-05-27T17:08:00Z,Kia EV Truck: Here's Everything We Know So Far About the New Electric Pickup,Looking for an electric pickup truck? A new one from Kia will soon be available in the US.,https://www.cnet.com/home/electric-vehicles/kia-ev-truck-everything-we-know-so-far-about-the-new-electric-pickup-coming-soon/,CNET
35,2025-05-25T13:17:09Z,"Why the creator of 'Succession' says he rushed to release 'Mountainhead,' a new satire about tech bro billionaires","""Mountainhead,"" set to be released on May 31, sees a group of tech bro billionaires meet as news of an international crisis spreads.",https://www.businessinsider.com/succession-creator-rushed-to-release-mountainhead-tech-bro-satire-2025-5,Business Insider
36,2025-05-21T21:45:00Z,Elon Musk trying to 'minimize' reality of Tesla sales hit: Investor,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_1ab4ef85-12d3-4a40-adc8-f20d3f623bbf,Yahoo Entertainment
37,2025-05-20T17:33:28Z,Elon Musk Says He Isn't Leaving Tesla Anytime Soon,The Tesla CEO says he's committed to staying on as the head of the company for at least another five years.,https://www.jalopnik.com/1864919/elon-musk-isnt-leaving-tesla/,Jalopnik
38,2025-05-20T19:02:05Z,Elon Musk bashes Bill Gates' comments on USAID: 'Show us any evidence',Elon Musk challenged Bill Gates' claims that gutting USAID would result in millions of deaths.,https://www.businessinsider.com/elon-musk-responds-bill-gates-over-usaid-cuts-2025-5,Business Insider
39,2025-05-27T08:57:01Z,Waymo shows how radar and lidar help its robotaxis see what cameras can't,"Waymo's sensor suite allows its robotaxis to see pedestrians in ways cameras may not be able to detect, co-CEO Dmitri Dolgov said.",https://www.businessinsider.com/waymo-robotaxi-lidar-sensor-versus-cameras-vision-only-2025-5,Business Insider
40,2025-05-26T10:11:01Z,Elon Musk says he's stepping back from DOGE and politics. That doesn't mean he's disappearing from DC.,"Despite Musk's apparent plans to step back from DOGE, he made several appearances in DC this week, including in the Oval Office and on Capitol Hill.",https://www.businessinsider.com/elon-musk-stick-around-despite-stepping-back-doge-2025-5,Business Insider
41,2025-05-22T14:41:00Z,China's BYD just overtook Tesla in Europe,"According to automotive business intelligence firm, JATO Dynamics, Chinese EV maker BYD (BYDDY) has now overtaken Tesla’s (TSLA) dominance in Europe. Read more...",https://qz.com/china-byd-overtakes-tesla-ev-sales-europe-1851781922,Quartz India
42,2025-05-20T01:53:27Z,World's biggest EV battery maker sees shares jump on debut,"CATL makes more than a third of all EV batteries sold worldwide and supplies carmakers like Tesla, VW and Toyota.",https://www.bbc.com/news/articles/c3d4k1derzgo,BBC News
43,2025-05-21T02:27:02Z,Billionaire Man-Child Elon Musk Gives His Most Petulant Interview to Date,"Is it good when a defense contractor talks about the ""cleansing function"" of war?",https://gizmodo.com/billionaire-man-child-elon-musk-gives-his-most-petulant-interview-to-date-2000604920,Gizmodo.com
44,2025-05-25T09:00:02Z,"Meet Michael Grimes, the investment banker to Elon Musk who's running Trump's invest-in-America agenda","Michael Grimes made a name for himself as a banker to tech giants like Uber and Google. Now, he's running Trump's investment accelerator.",https://www.businessinsider.com/michael-grimes-morgan-stanley-investment-accelerator-trump-commerce-department-2025-3,Business Insider
45,2025-05-20T15:55:00Z,A Tesla battery supplier just had a huge IPO,"The world’s largest EV battery maker just shook the global financing stage with its IPO in Hong Kong. CATL, or Contemporary Amperex Technology Co., Ltd., saw its shares surge 16% on Tuesday, raising $4.6 billion in the world’s largest public offering so far t…",https://qz.com/catl-battery-ev-tesla-ipo-hong-kong-us-china-1851781511,Quartz India
46,2025-05-23T14:31:08Z,Tesla stock gets a huge price-target hike as Wedbush hails 'golden age of autonomous growth',"Tesla (TSLA) might have been in the news recently for all the wrong reasons, but that’s not stopping Wedbush from issuing one of Wall Street’s most bullish calls on the company in months.Read more...",https://qz.com/tesla-robotaxis-austin-fsd-autonomous-ai-1851782128,Quartz India
47,2025-05-20T18:12:36Z,Musk says he will do 'a lot less' political spending in the future,"Billionaire Elon Musk, the top donor in the 2024 election who helped boost President Donald Trump's path to victory, says he plans to scale back his political spending.",https://abcnews.go.com/US/musk-asked-2026-midterms-lot-political-spending-future/story?id=121992082,ABC News
48,2025-05-20T16:56:23Z,Musk commits to staying Tesla CEO for another five years,"Elon Musk has claimed a turnaround in Tesla's sales after a slump, even as his internet service provider Starlink grows.",https://www.aljazeera.com/economy/2025/5/20/musk-commits-to-staying-tesla-ceo-for-another-five-years,Al Jazeera English
49,2025-05-21T06:28:09Z,South Africa's president heads to the White House. Can he charm Trump?,South African President Cyril Ramaphosa heads to the White House today for conciliatory talks with one of his country's most persistent critics: President Trump.,https://www.npr.org/2025/05/21/nx-s1-5404667/south-africa-white-house-visit-ramaphosa-trump-tensions,NPR
50,2025-05-25T10:01:01Z,Why can't we let Taylor Swift take a vacation?,"Critics and Swifties alike have questioned Taylor Swift's hiatus, fueling debates over work-life balance.",https://www.businessinsider.com/where-is-taylor-swift-2025-5,Business Insider
51,2025-05-20T13:30:01Z,Silicon Valley used to idolize youth. AI is changing that.,"Silicon Valley's youth-centric hiring myth is fading as AI drives more demand for experienced talent, according to new data from SignalFire.",https://www.businessinsider.com/silicon-valley-idolize-youth-ai-changing-tech-hiring-signalfire-genz-2025-5,Business Insider
52,2025-05-21T14:31:00Z,Elon Musk gushes over Optimus robot as Tesla shows off its ability to learn from humans,Elon Musk thinks Tesla’s (TSLA) Optimus robot will be the “biggest product of all time” now that it can learn new tasks from human instruction.Read more...,https://qz.com/elon-musk-tesla-optimus-robot-learns-from-videos-1851781684,Quartz India
53,2025-05-20T17:54:00Z,Elon Musk is ready spend 'a lot less' money on politics,Elon Musk says he is ready to turn his attention — and his money — back to business and away from politics.Read more...,https://qz.com/musk-says-hell-cut-back-his-political-spending-1851781558,Quartz India
54,2025-05-20T15:51:00Z,Elon Musk says he’ll still lead Tesla in 5 years: ‘Unless I die’,"On the question of Tesla’s (TSLA) leadership, Elon Musk has one thing to say: until death do us part.Read more...",https://qz.com/elon-musk-tesla-ceo-starlink-xai-qatar-1851781506,Quartz India
55,2025-05-27T15:10:00Z,How China EVs are winning over Europe while Tesla keeps losing ground,Tesla’s (TSLA) European sales halved in April as consumer sentiment toward the U.S. battery-electric vehicle (BEV) maker continues to sour and Chinese competitors deepen their market share in the region.Read more...,https://qz.com/tesla-ev-europe-china-byd-saic-1851782435,Quartz India
56,2025-05-24T10:30:32Z,10 Weekend Reads,"The weekend is here! Pour yourself a mug of Colombia Tolima Los Brasiles Peaberry Organic coffee, grab a seat outside, and get ready for our longer-form weekend reads: • The Gen Zer Making Capitalism Cool Again: Despite being one of the richest generations in…",https://ritholtz.com/2025/05/10-weekend-reads-41/,Ritholtz.com
57,2025-05-22T20:20:00Z,"Kraken to offer tokenized securities, including Apple, Tesla, and Nvidia, to customers outside the U.S",Experts laud this as the beginning of a democratization of assets,https://qz.com/kraken-backed-solana-tokenized-us-securities-1851782038,Quartz India
58,2025-05-23T12:00:00Z,Would Buying A Private Cybercab Or Hiring Out Your Tesla Make Sense?,"Tesla says you could buy a Cybercab or hire out your regular Tesla as a robotaxi and make big money from it.  Since I first proposed that in 2008, many problems appeared.",https://www.forbes.com/sites/bradtempleton/2025/05/23/would-buying-a-private-cybercab--or-hiring-out-your-tesla-make-sense/,Forbes
59,2025-05-21T13:15:14Z,Google Search's AI era comes into focus,"Google Search is getting an AI-powered makeover, and the tech giant is launching a new tool for Hollywood.",https://www.businessinsider.com/google-search-ai-mode-era-rivals-openai-anthropic-hollywood-2025-5,Business Insider
60,2025-05-24T12:18:01Z,"I make $3,000 a month by sports betting 2 hours a day — my arbitrage strategy has minimized risk","James Crosby has raked in almost $8,500 since he began arbitrage betting in March. He told BI he's saving for a down payment — and his tax bill.",https://www.businessinsider.com/sports-betting-arbitrage-easy-low-risk-strategy-side-hustle-2025-5,Business Insider
61,2025-05-21T12:10:24Z,Elon Musk Confirms June Launch For Robotaxis In Austin,"Elon Musk Confirms June Launch For Robotaxis In Austin
 
Tesla stock is up about 2% mid-day after a mid-day interview between David Faber and Elon Musk. The Tesla CEO told CNBC that Tesla will launch robotaxis in Austin by the end of June, starting with about…",https://biztoc.com/x/d290273bbdc41059,Biztoc.com
62,2025-05-27T15:20:31Z,Tesla Stock Clears New Early Entry As Robotaxi Service Launch Momentum Continues,"Tesla stock rose above an aggressive early entry Tuesday, as TSLA continues to add to a 25% gain in May.
The post Tesla Stock Clears New Early Entry As Robotaxi Service Launch Momentum Continues appeared first on Investor's Business Daily.",https://biztoc.com/x/c2143ea7a3cd1957,Biztoc.com
63,2025-05-21T11:00:22Z,Elon Musk hits back at Bill Gates’ claim that DOGE cuts could lead to deaths of children: ‘I’d like him to show us any evidence’,Microsoft co-founder Bill Gates warned DOGE's cut to USAID could result in children's lives being endangered.,https://www.yahoo.com/news/elon-musk-hits-back-bill-110022996.html,Yahoo Entertainment
64,2025-05-22T14:41:53Z,Tesla Loses Key Status Marker as Elon Musk Backlash Ramps Up,"Elon Musk’s electric carmaker Tesla has been outsold in Europe by a rival company for the first time. 
The continent’s longtime electric favorite was overtaken by Chinese company BYD in April, which sold 7,231 fully electric cars compared to Tesla’s 1,165, a…",https://newrepublic.com/post/195614/tesla-loses-status-marker-elon-musk-backlash,The New Republic
65,2025-05-27T13:48:32Z,Starlink Wars: Elon Musk still battling Apple over iPhone satellite connectivity,"Elon Musk continues to try to stymie Apple's satellite ambitions three years after Tim Cook turned down an offer to use Starlink on the iPhone.Emergency SOS via satelliteAfter starting work on the project in 2019, in 2022, Elon Musk made Apple a connectivity …",https://appleinsider.com/articles/25/05/27/starlink-wars-elon-musk-still-battling-apple-over-iphone-satellite-connectivity,AppleInsider
66,2025-05-26T12:00:00Z,Used Tesla Sales Are Booming As Resale Values Tumble,"Though many consumers are opposed to the brand politically, pre-owned Tesla EVs can be had for bargain prices.",https://www.forbes.com/sites/jimgorzelany/2025/05/26/used-tesla-sales-are-booming-as-resale-values-tumble/,Forbes
67,2025-05-22T18:00:59Z,Musk Adviser May Make as Much as $1 Million a Year While Helping to Dismantle Agency that Regulates Tesla and X,"This story was originally published by ProPublica. Republished under a CC BY-NC-ND 3.0 license. One of Elon Musk’s employees is earning between $100,001 and $1 million annually as a political adviser to his billionaire boss while simultaneously helping to dis…",https://www.techdirt.com/2025/05/22/musk-adviser-may-make-as-much-as-1-million-a-year-while-helping-to-dismantle-agency-that-regulates-tesla-and-x/,Techdirt
68,2025-05-23T11:50:39Z,Xiaomi's new Tesla-rivaling SUV has a cockpit-style panoramic windshield display and can charge in just 12 minutes,"More interior space, more range and more tech than a Tesla Model Y... if it is priced right, the Xiaomi YU7 will prove a real problem for Musk.",https://www.techradar.com/vehicle-tech/hybrid-electric-vehicles/xiaomis-new-tesla-rivaling-suv-has-a-cockpit-style-panoramic-windshield-display-and-can-charge-in-just-12-minutes,TechRadar
69,2025-05-20T10:12:03Z,"Elon Musk's Grok 3 AI coming to Azure proves Satya Nadella's allegiance isn't to OpenAI, but to maximizing Microsoft's profit gains by heeding consumer demands","At Microsoft's annual Build developer conference, the company announced that xAI's Grok 3 and Grok 3 mini are joining Azure's long list of AI models.",https://www.windowscentral.com/software-apps/elon-musk-grok-3-ai-coming-to-microsoft-azure,Windows Central
70,2025-05-26T10:07:45Z,Shoe concept brings Cybertruck aesthetics to your feet,"Shoe concept brings Cybertruck aesthetics to your feetI’m not that adventurous when it comes to shoes. I own several pairs of sneakers, one pair of flats, and a pair of boots. That’s...",https://www.yankodesign.com/2025/05/26/shoe-concept-brings-cybertruck-aesthetics-to-your-feet/,Yanko Design
71,2025-05-26T08:18:16Z,"As Tesla Cybertruck Market Collapses, Used Price Gets Real",Used Cybertruck prices are crashing as new vehicles pile up in Tesla inventory. The all-electric pickup has lost the cachet it had a year ago.,https://www.forbes.com/sites/brookecrothers/2025/05/26/as-tesla-cybertruck-market-collapses-used-price-gets-real/,Forbes
72,2025-05-27T13:29:26Z,"Tesla Stock Up 58% As Cybertruck Value Dips. China, Europe Sales Drop",Tesla stock has risen 58% since April. But shares could be 23% overvalued as revenue drops — with registrations down in China and Europe — and Cybertruck values dropping.,https://www.forbes.com/sites/petercohan/2025/05/27/tesla-stock-up-58-as-cybertruck-value-dips-china-europe--sales-drop/,Forbes
73,2025-05-21T12:21:54Z,Forbes Daily: The Unlikely Profiteers In Class Action Lawsuit Settlements,"Today’s Forbes Daily newsletter covers Elon’s pledge to Tesla, a big mortgage bill for Trump, top employers for college grads, new Covid vaccine policy and more.",https://www.forbes.com/sites/sarahwhitmire/2025/05/21/forbes-daily-the-unlikely-profiteers-in-class-action-lawsuit-settlements/,Forbes
74,2025-05-26T11:16:21Z,‘No Big Issues’ Says Bicycle Professor Of Tesla’s Driverless Video In Amsterdam,Tesla hope to gain EU regulatory approval for its misleadingly-named Full Self-Driving tech. Rules-making body says this could come soon.,https://www.forbes.com/sites/carltonreid/2025/05/26/no-big-issues-says-bicycle-professor-of-teslas-driverless-video-in-amsterdam/,Forbes
75,2025-05-22T17:45:11Z,Trump Suffers Massive Blow in War on Education Department,"A federal judge has blocked President Trump and Education Secretary Linda McMahon from carrying out an executive order to eliminate the Department of Education. 
On Thursday, U.S. District Judge Myong Joun in Boston issued a preliminary injunction stopping t…",https://newrepublic.com/post/195635/judge-block-trump-dismantle-education-department,The New Republic
76,2025-05-21T12:10:09Z,Tesla Admits Its Cybertrucks Lose Their Value Insanely Fast,"The struggles never seem to end for Tesla.
Elon Musk's embattled electric vehicle empire is floundering on its long-anticipated robotaxi launch as sales plummet to record lows and Tesla bulls dump their stocks.
Tesla's Cybertruck — the garish luxury all-elect…",https://biztoc.com/x/5c6587d5a22578a6,Biztoc.com
77,2025-05-22T17:18:38Z,Elon Musk’s Latest Announcement Has Republicans Freaking Out,"Republicans may be glad that Elon Musk is gone from the White House, but they’re not happy he’s taking his money with him.
The world’s richest man said at the Qatar Economic Forum on Tuesday that he believes he’s “done enough” when it comes to political spen…",https://newrepublic.com/post/195633/elon-musk-political-spending-republicans-freaking-out,The New Republic
78,2025-05-22T17:36:03Z,Trump’s New Social Security Chief Had to Google His Own Job,"It looks like Donald Trump’s streak of hiring wildly unqualified people remains undefeated. 
Frank Bisignano, the new Social Security Administration commissioner, revealed Wednesday that he’d needed to google what the position actually entailed after being t…",https://newrepublic.com/post/195634/donald-trump-social-security-chief-google-job,The New Republic
79,2025-05-22T19:50:34Z,"There's been a rise in Tesla owners switching over to Cadillac EVs, exec says","Cadillac said its EVs have a conquest rate of about 75% — or the percentage of sales coming from customers switching brands — with 10% being former Tesla owners.
Artur Widak/NurPhoto
Cadillac said it's seeing a rise in Tesla owners switching to its Lyriq EV m…",https://biztoc.com/x/b1b6af7875ad4221,Biztoc.com
80,2025-05-20T16:22:18Z,Elon Musk Says He’s Committed to Being Tesla’s CEO,"When asked if he saw himself as CEO of Tesla ‘in five years’ time,’ Elon Musk said yes.",https://biztoc.com/x/9d40f744e856cd17,Biztoc.com
81,2025-05-24T11:00:00Z,"Nvidia on AI chip bans, OpenAI gets Jony Ive, and Google's Gemini in cars: Tech news roundup",Elon Musk thinks Tesla’s (TSLA) Optimus robot will be the “biggest product of all time” now that it can learn new tasks from human instruction.Read more...,https://qz.com/nvidia-ai-chip-bans-openai-jony-ive-google-gemini-volvo-1851782193,Quartz India
82,2025-05-21T22:34:55Z,2026 Tesla Model S Plaid Refresh Photos Leaked,"Tesla is expected to release a new, 2026 Model S Plaid refresh electric sedan sooner or later, and it seems the company has been testing exactly that at the Nurburgring track in Germany with new photos being leaked today.
The post 2026 Tesla Model S Plaid Ref…",https://www.redmondpie.com/2026-teslas-model-s-plaid-refresh-photos-leaked/,redmondpie.com
83,2025-05-27T14:19:45Z,Trump Plans Final Death Knell for Harvard Funding,"Donald Trump is escalating his war against Harvard University and trying to cut all remaining federal ties with the institution. 
The New York Times reports that the president is seeking to end all government contracts with Harvard, which total about $100 mi…",https://newrepublic.com/post/195725/trump-harvard-university-federal-funding-agency-contracts,The New Republic
84,2025-05-27T13:54:50Z,Tesla’s Latest Sales Numbers Show Just How Much People Hate Elon Musk,"Electric car sales are booming in Europe—but not for Tesla.
The Elon Musk-led automaker’s sales continue to decline in the continent, dropping by 49 percent since April 2024 across 32 countries, according to a report by the European Automobile Manufacturers’…",https://newrepublic.com/post/195722/elon-musk-donald-trump-tesla-sales-numbers,The New Republic
85,2025-05-25T03:59:44Z,The Scary Side To Tesla’s Full Self-Driving Exposed In Crash Video,A recent crash video calls into question the safety of Tesla's Full Self-Driving System after software malfunctions.,https://www.forbes.com/sites/peterlyon/2025/05/24/the-scary-side-to-teslas-full-self-driving-exposed-in-crash-video/,Forbes
86,2025-05-20T18:25:19Z,Death of a Cybertruck Salesman: How Trump Killed Tesla,"Death of a Cybertruck Salesman: How Trump Killed Tesla
Schadenfreude is a bargain at $5.60 per mile.
1. TSLA
How much does it cost to drive a Cybertruck?
The base sticker price for Tesla’s electric truck is $70,000,1 but that’s not the real cost. The real cos…",https://biztoc.com/x/f13500633e9c2cb8,Biztoc.com
87,2025-05-20T13:57:42Z,Elon Musk commits to leading Tesla for next five years,,https://biztoc.com/x/c2317d871ecd0689,Biztoc.com
88,2025-05-27T00:42:05Z,"Tesla Sweetens Lease Deals For Model Y Juniper, Looking To Boost Sales","Tesla is offering new lease terms at a lower price for the 2026 ‘Juniper’ Model Y, looking to give a shot in the arm to its best selling vehicle.",https://www.forbes.com/sites/brookecrothers/2025/05/26/tesla-sweetens-lease-deals-for-model-y-juniper-looking-to-boost-sales/,Forbes
89,2025-05-24T12:00:54Z,Tesla’s Mission,Tesla's inspiring master plan is now at risk,https://www.forbes.com/sites/greatspeculations/2025/05/24/teslas-mission/,Forbes
90,2025-05-20T14:16:47Z,Why Morgan Stanley Remains Bullish On Tesla,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_e5f4f2d4-9931-4708-a69d-f23aadc61d71,Yahoo Entertainment
